coin_value_eur;timestamp
5591.7;1533725199679
5594.3;1533725303855
5604.6;1533725409252
5600.2;1533725513977
5594.4;1533725618040
5593.1;1533725724170
5594.6;1533725831144
5594.7;1533725935615
5583.3;1533726152647
5589.7;1533726256475
5593.7;1533726362671
5600;1533726467282
5600;1533726571066
5600.1;1533726675751
5599.9;1533726781221
5613.6;1533726886513
5615.3;1533726989831
5607.3;1533727099354
5607.1;1533727205517
5606.4;1533727308894
5610.7;1533727412282
5611.1;1533727517276
5614;1533727624069
5614.2;1533727727857
5611.7;1533727832459
5612.6;1533727936947
5608.2;1533728041185
5610.6;1533728145848
5614.9;1533728251144
5615;1533728357817
5619;1533728461713
5619;1533728569481
5622.6;1533728672756
5621.3;1533728779239
5621.4;1533728883057
5617;1533728988160
5620.9;1533729093977
5609.8;1533729197352
5615.6;1533729301346
5612.5;1533729405628
5617.5;1533729509758
5619.4;1533729613682
5623.2;1533729718169
5623.2;1533729821514
5623.6;1533729925943
5623.6;1533730031510
5623.1;1533730135977
5621.5;1533730240266
5611.7;1533730344868
5602.2;1533730451339
5603;1533730555298
5579.3;1533730660263
5589.9;1533730764698
5596.3;1533730869363
5595.7;1533730972976
5602.7;1533731077801
5608.3;1533731185328
5610.2;1533731289515
5613.9;1533731394057
5611.7;1533731498978
5620.6;1533731603466
5620.2;1533731708644
5614.9;1533731815152
5611.9;1533731920159
5611.1;1533732028337
5611.1;1533732131259
5617.6;1533732236517
5620.4;1533732340629
5620;1533732445825
5622.1;1533732549649
5627.3;1533732653599
5625.5;1533732757653
5616.9;1533732860979
5626.3;1533732966736
5622.7;1533733069662
5618.7;1533733176567
5614.2;1533733280809
5620.7;1533733384648
5618.8;1533733489823
5618.7;1533733594516
5621.1;1533733699894
5620;1533733802812
5618.7;1533733907526
5602.6;1533734012879
5602;1533734117788
5602;1533734221154
5602.1;1533734325790
5604.6;1533734430510
5609.1;1533734535459
5609.7;1533734644012
5608.3;1533734749144
5609.1;1533734853148
5605.9;1533734957362
5610.1;1533735062755
5592.1;1533735166793
5598.1;1533735274967
5590.1;1533735378514
5590.1;1533735482797
5570.9;1533735589261
5581.8;1533735694178
5590;1533735798335
5582.6;1533735902098
5582;1533736008268
5588;1533736115645
5580;1533736222265
5586.2;1533736327463
5578.5;1533736431299
5578.2;1533736538516
5584.6;1533736644041
5580.2;1533736748517
5585.4;1533736853542
5584;1533736958266
5580.5;1533737063651
5581.4;1533737168768
5559.7;1533737273075
5563.4;1533737377065
5553.7;1533737481787
5566;1533737587165
5589.3;1533737695644
5587;1533737800594
5588.5;1533737904460
5597;1533738009465
5592.9;1533738113565
5590.7;1533738217328
5593.9;1533738320649
5583;1533738424468
5589;1533738527922
5585.6;1533738633861
5585.2;1533738737646
5580;1533738841709
5571.8;1533738945631
5555.3;1533739049946
5580;1533739154647
5567.3;1533739259870
5576.4;1533739367169
5576.3;1533739470284
5578.8;1533739579684
5575.6;1533739683475
5576;1533739794128
5575.2;1533739897460
5573.2;1533740001291
5573.1;1533740104977
5581;1533740211122
5587.7;1533740318779
5593.8;1533740534379
5591.6;1533740639115
5584.2;1533740743330
5589.9;1533740849593
5589.6;1533740953518
5589.2;1533741058647
5580.9;1533741163181
5583.2;1533741269124
5581.7;1533741373487
5585.7;1533741478891
5586.1;1533741586780
5595.8;1533741691860
5597.5;1533741795553
5599.1;1533741898944
5600.9;1533742003682
5601.3;1533742107580
5596.9;1533742211674
5593.3;1533742316267
5588.4;1533742419869
5587.9;1533742523665
5586;1533742627976
5580.2;1533742731638
5580.5;1533742835032
5580.9;1533742942628
5584.6;1533743045739
5595.1;1533743149059
5595.1;1533743253862
5595.1;1533743360461
5595.1;1533743465349
5593.4;1533743570981
5588.9;1533743675261
5589.5;1533743781029
5589.2;1533743888016
5590;1533743993509
5594.9;1533744097793
5595;1533744202512
5595;1533744307976
5591.3;1533744411743
5592.5;1533744515866
5590;1533744619644
5581.1;1533744728744
5576.9;1533744834098
5577.1;1533744938060
5575.9;1533745042270
5573.1;1533745146387
5559.7;1533745250073
5571.3;1533745354985
5557.3;1533745459661
5562.5;1533745567755
5550.8;1533745677977
5558;1533745783699
5561;1533745889745
5552.7;1533745994359
5551.3;1533746099468
5550.2;1533746205335
5541;1533746309975
5491.9;1533746415144
5474.4;1533746519339
5430;1533746622798
5393.5;1533746726180
5350;1533746829468
5397.4;1533746934233
5398.3;1533747039649
5418.4;1533747143982
5400;1533747247345
5399.4;1533747356161
5409.3;1533747459933
5396;1533747564091
5390.4;1533747669066
5403.6;1533747772867
5406.3;1533747876639
5409.5;1533747984166
5423.6;1533748087567
5415.9;1533748191543
5398.8;1533748295335
5400;1533748398692
5395.2;1533748503418
5398.2;1533748610771
5398.3;1533748716825
5393.1;1533748820625
5373.4;1533748923977
5383.4;1533749029419
5384;1533749137405
5371.6;1533749243012
5379.7;1533749346290
5376.5;1533749450935
5373.4;1533749559588
5386.1;1533749668578
5397.3;1533749774068
5400.4;1533749879644
5397.1;1533749986238
5395;1533750089976
5397.5;1533750195615
5400.9;1533750300198
5400.6;1533750413332
5395;1533750520332
5399.1;1533750625269
5405;1533750729057
5407;1533750833586
5390.1;1533750937766
5392.1;1533751042070
5387.1;1533751145878
5387.2;1533751250681
5392.8;1533751361691
5391.3;1533751469784
5393.9;1533751574388
5391.7;1533751681444
5384.1;1533751784854
5384.8;1533751889358
5372.9;1533751996272
5385;1533752104475
5385;1533752209053
5380;1533752313562
5382.4;1533752417815
5384.9;1533752523354
5386.9;1533752629721
5385.1;1533752733352
5385.7;1533752838329
5385.3;1533752944410
5377;1533753050164
5350;1533753153868
5344.4;1533753257735
5286.6;1533753362676
5342.8;1533753471305
5313.5;1533753578208
5322.3;1533753689775
5326.5;1533753795076
5340.4;1533753898853
5328.6;1533754008637
5324.8;1533754113068
5363.8;1533754216329
5388.2;1533754321872
5398.7;1533754425309
5371.9;1533754529331
5371.8;1533754633644
5380;1533754739336
5398.9;1533754844796
5420.4;1533754950252
5474.4;1533755059015
5435.8;1533755163944
5445.1;1533755268554
5430.2;1533755372945
5422.5;1533755476348
5431.2;1533755580579
5433.6;1533755685780
5427.2;1533755789654
5450;1533755895846
5450;1533756001488
5477;1533756106328
5458.6;1533756214208
5459;1533756318078
5435.6;1533756428084
5445;1533756531697
5435.4;1533756636472
5445;1533756739825
5444.9;1533756848675
5450.9;1533756952515
5450;1533757057492
5454;1533757161507
5451.1;1533757272216
5457.4;1533757379284
5457;1533757482173
5457.8;1533757585810
5473;1533757689473
5478;1533757798539
5459.9;1533757903268
5471.3;1533758011163
5466.5;1533758114881
5461.6;1533758220509
5456.3;1533758325644
5461.9;1533758437646
5456.1;1533758545421
5457.1;1533758649882
5440;1533758762227
5442;1533758867185
5443.9;1533758971170
5441.3;1533759074888
5437.7;1533759180879
5437.8;1533759284185
5430.3;1533759387949
5429.8;1533759491691
5426;1533759595534
5434;1533759703032
5433.1;1533759807527
5437.8;1533759913132
5437.8;1533760017407
5448.9;1533760123082
5456.8;1533760227283
5448.8;1533760331302
5449.9;1533760435480
5448.9;1533760542958
5449.9;1533760646687
5448.9;1533760752949
5443.3;1533760857329
5433.8;1533760961986
5439.9;1533761064880
5438.6;1533761169828
5432;1533761275522
